     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         1         1         8       -0.26288000       -0.27398856               0.00000000             -55.64437066
         1         2         1        0.13508100        0.14042377               0.00000000              19.19827385
         1         3         1        0.13061000        0.14032381               0.00000000              19.19806655
         1         4         8       -0.29058800       -0.28571667               0.00000000             -55.63631524
         1         5         1        0.14559800        0.15576272               0.00000000              19.19703569
         1         6         1        0.14112300        0.14164071               0.00000000              19.19510526
         1         7         8       -0.27847500       -0.27470494               0.00000000             -55.64219704
         1         8         1        0.12633300        0.13687356               0.00000000              19.19740317
         1         9         1        0.12951800        0.13803783               0.00000000              19.19728777
         1        10         8       -0.28912600       -0.27129560               0.00000000             -55.64337593
         1        11         1        0.13696100        0.13096361               0.00000000              19.19530505
         1        12         1        0.14906300        0.15991860               0.00000000              19.20141879
         1        13         8       -0.30521400       -0.31397270               0.00000000             -55.64178295
         1        14         1        0.13662100        0.13387133               0.00000000              19.19617519
         1        15         1        0.12897900        0.13729402               0.00000000              19.19689931
         1        16         8       -0.24467700       -0.24096821               0.00000000             -55.64266927
         1        17         1        0.14439200        0.14618270               0.00000000              19.19843736
         1        18         1        0.15237500        0.15091172               0.00000000              19.19759142
         1        19         8       -0.29458100       -0.29041167               0.00000000             -55.64315191
         1        20         1        0.15289800        0.14077169               0.00000000              19.19843606
         1        21         1        0.13873400        0.13692517               0.00000000              19.19843162
         1        22         8       -0.30449300       -0.29708071               0.00000000             -55.63789062
         1        23         1        0.14673800        0.15443635               0.00000000              19.19646497
         1        24         1        0.12415800        0.13551694               0.00000000              19.19548085
         1        25         8       -0.27501300       -0.28456974               0.00000000             -55.64356528
         1        26         1        0.12812200        0.13307327               0.00000000              19.19627845
         1        27         1        0.12593400        0.12970900               0.00000000              19.19585574
         1        28         8       -0.30840500       -0.31327283               0.00000000             -55.63983716
         1        29         1        0.11501900        0.13536540               0.00000000              19.19463280
         1        30         1        0.11814200        0.12558528               0.00000000              19.19492196
         1        31         8       -0.29039900       -0.28200719               0.00000000             -55.64543292
         1        32         1        0.13475200        0.14047356               0.00000000              19.19769620
         1        33         1        0.13555200        0.13005500               0.00000000              19.19771164
         1        34         8       -0.25864500       -0.26614247               0.00000000             -55.64340806
         1        35         1        0.14090700        0.13394882               0.00000000              19.19766433
         1        36         1        0.15054800        0.15406572               0.00000000              19.19919089
         1        37         8       -0.27037500       -0.27379203               0.00000000             -55.64193057
         1        38         1        0.14163300        0.13881327               0.00000000              19.19765287
         1        39         1        0.14025700        0.14267633               0.00000000              19.19743321
         1        40         8       -0.27131500       -0.26874473               0.00000000             -55.64169097
         1        41         1        0.13298900        0.12388483               0.00000000              19.19554930
         1        42         1        0.13879200        0.14036854               0.00000000              19.19774846
         1        43         8       -0.27166000       -0.27566647               0.00000000             -55.64068393
         1        44         1        0.14305100        0.13966658               0.00000000              19.19728556
         1        45         1        0.14215400        0.13900172               0.00000000              19.19585771
         1        46         8       -0.28768200       -0.26943081               0.00000000             -55.63911872
         1        47         1        0.14090800        0.13512260               0.00000000              19.19707591
         1        48         1        0.14492000        0.14017218               0.00000000              19.19709514
