     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
        50       192                -1103.93709612                -1103.94197955                    0.00002543
        51       192                -1103.93996699                -1103.93840143                   -0.00000815
        52       192                -1103.94774989                -1103.94490023                   -0.00001484
        53       192                -1103.94276277                -1103.95003764                    0.00003789
        54       192                -1103.94611721                -1103.94909495                    0.00001551
        55       192                -1103.94821068                -1103.95388415                    0.00002955
        56       192                -1103.95732397                -1103.94804694                   -0.00004832
        57       192                -1103.94746631                -1103.95107912                    0.00001882
        58       192                -1103.93264197                -1103.95319765                    0.00010706
        59       192                -1103.94992035                -1103.96368302                    0.00007168
        60       192                -1103.95499448                -1103.96415608                    0.00004772
        61       192                -1103.93650691                -1103.95428367                    0.00009259
        62       192                -1103.90425966                -1103.95511945                    0.00026489
        63       192                -1103.95295500                -1103.96018776                    0.00003767
        64       192                -1103.95459686                -1103.95788866                    0.00001714
        65       192                -1103.94166703                -1103.95613651                    0.00007536
        66       192                -1103.93481131                -1103.95431424                    0.00010158
        67       192                -1103.93531592                -1103.95345762                    0.00009449
        68       192                -1103.95321075                -1103.95616336                    0.00001538
        69       192                -1103.96468878                -1103.96224226                   -0.00001274
        70       192                -1103.93870009                -1103.95526399                    0.00008627
        71       192                -1103.95268015                -1103.96447439                    0.00006143
        72       192                -1103.97988959                -1103.96535242                   -0.00007571
        73       192                -1103.94747559                -1103.96469214                    0.00008967
        74       192                -1103.96101687                -1103.96256095                    0.00000804
        75       192                -1103.94302896                -1103.96989032                    0.00013990
        76       192                -1103.94598333                -1103.97085259                    0.00012953
        77       192                -1103.96186373                -1103.96968357                    0.00004073
        78       192                -1103.95585384                -1103.95965434                    0.00001979
        79       192                -1103.95666291                -1103.95386529                   -0.00001457
        80       192                -1103.95747637                -1103.94590518                   -0.00006027
        81       192                -1103.93642295                -1103.94820566                    0.00006137
        82       192                -1103.92923562                -1103.94507981                    0.00008252
        83       192                -1103.93860067                -1103.94354170                    0.00002573
        84       192                -1103.93212633                -1103.93114166                   -0.00000513
        85       192                -1103.93442602                -1103.94353796                    0.00004746
        86       192                -1103.93174294                -1103.94875565                    0.00008861
        87       192                -1103.93640646                -1103.94665540                    0.00005338
        88       192                -1103.93267388                -1103.93729376                    0.00002406
        89       192                -1103.91279899                -1103.92658620                    0.00007181
        90       192                -1103.92789049                -1103.93254954                    0.00002427
        91       192                -1103.92511481                -1103.95257224                    0.00014301
        92       192                -1103.91911958                -1103.95172342                    0.00016981
        93       192                -1103.94952895                -1103.95195532                    0.00001264
        94       192                -1103.94326937                -1103.94001040                   -0.00001697
        95       192                -1103.94383833                -1103.94368587                   -0.00000079
        96       192                -1103.94309769                -1103.94175304                   -0.00000700
        97       192                -1103.95672461                -1103.94547778                   -0.00005858
        98       192                -1103.93311128                -1103.92971396                   -0.00001769
        99       192                -1103.94536967                -1103.93328509                   -0.00006294
       100       192                -1103.94230250                -1103.93571184                   -0.00003433
       101       192                -1103.93424550                -1103.93327944                   -0.00000503
       102       192                -1103.92966387                -1103.93155027                    0.00000983
       103       192                -1103.93824734                -1103.93990891                    0.00000865
       104       192                -1103.93601328                -1103.93290889                   -0.00001617
       105       192                -1103.93294895                -1103.93044791                   -0.00001303
       106       192                -1103.92515597                -1103.93234755                    0.00003746
       107       192                -1103.92875228                -1103.94528515                    0.00008611
       108       192                -1103.95042130                -1103.94336894                   -0.00003673
       109       192                -1103.94374189                -1103.94124092                   -0.00001303
       110       192                -1103.95146502                -1103.93645932                   -0.00007815
       111       192                -1103.94642681                -1103.94109662                   -0.00002776
       112       192                -1103.94618988                -1103.94640216                    0.00000111
       113       192                -1103.94850036                -1103.94709003                   -0.00000735
       114       192                -1103.93158619                -1103.93714160                    0.00002893
       115       192                -1103.92430391                -1103.93551352                    0.00005838
       116       192                -1103.94318519                -1103.93878153                   -0.00002294
       117       192                -1103.95014978                -1103.95248273                    0.00001215
       118       192                -1103.95869412                -1103.95111455                   -0.00003948
       119       192                -1103.96359455                -1103.94406954                   -0.00010169
       120       192                -1103.94289125                -1103.94312259                    0.00000120
       121       192                -1103.93801217                -1103.95169617                    0.00007127
       122       192                -1103.96856473                -1103.97361246                    0.00002629
       123       192                -1103.96040923                -1103.97178231                    0.00005923
       124       192                -1103.96508683                -1103.97426321                    0.00004779
       125       192                -1103.96893759                -1103.96491221                   -0.00002097
       126       192                -1103.96483879                -1103.97664668                    0.00006150
       127       192                -1103.95703623                -1103.95847447                    0.00000749
       128       192                -1103.98577906                -1103.97939194                   -0.00003327
       129       192                -1103.96594506                -1103.95204026                   -0.00007242
       130       192                -1103.95925158                -1103.96503069                    0.00003010
       131       192                -1103.97236007                -1103.95513071                   -0.00008974
       132       192                -1103.97538145                -1103.95806629                   -0.00009018
       133       192                -1103.96174500                -1103.94311963                   -0.00009701
       134       192                -1103.97230255                -1103.96518533                   -0.00003707
       135       192                -1103.96540821                -1103.95175044                   -0.00007113
       136       192                -1103.97363587                -1103.96187291                   -0.00006127
       137       192                -1103.99373405                -1103.95401129                   -0.00020689
       138       192                -1103.99117294                -1103.96453811                   -0.00013872
       139       192                -1103.98719843                -1103.96430692                   -0.00011923
       140       192                -1104.00169865                -1103.97491971                   -0.00013947
       141       192                -1103.98708802                -1103.97200651                   -0.00007855
       142       192                -1103.98452527                -1103.97382105                   -0.00005575
