     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1       192                -1103.96472887                -1103.95819947                   -0.00003401
         2       192                -1103.95398863                -1103.95130844                   -0.00001396
         3       192                -1103.93307966                -1103.95842393                    0.00013200
         4       192                -1103.96173306                -1103.96204829                    0.00000164
         5       192                -1103.97030849                -1103.96382743                   -0.00003376
         6       192                -1103.94401898                -1103.94495948                    0.00000490
         7       192                -1103.96626206                -1103.94602110                   -0.00010542
         8       192                -1103.94535837                -1103.95031713                    0.00002583
         9       192                -1103.93915519                -1103.93866629                   -0.00000255
        10       192                -1103.95282827                -1103.93833249                   -0.00007550
        11       192                -1103.95108872                -1103.93790277                   -0.00006868
        12       192                -1103.94780607                -1103.93898472                   -0.00004594
        13       192                -1103.94767098                -1103.94651765                   -0.00000601
        14       192                -1103.95492017                -1103.94904839                   -0.00003058
        15       192                -1103.94105222                -1103.94551447                    0.00002324
        16       192                -1103.96206394                -1103.95009862                   -0.00006232
        17       192                -1103.95207047                -1103.94129631                   -0.00005612
        18       192                -1103.93539648                -1103.94056186                    0.00002690
        19       192                -1103.92586937                -1103.93813821                    0.00006390
        20       192                -1103.94138438                -1103.94865388                    0.00003786
        21       192                -1103.92426439                -1103.93965109                    0.00008014
        22       192                -1103.90872629                -1103.92984737                    0.00011001
        23       192                -1103.91583583                -1103.93013929                    0.00007450
        24       192                -1103.94767701                -1103.94109019                   -0.00003431
        25       192                -1103.93787385                -1103.93782111                   -0.00000027
        26       192                -1103.93881036                -1103.93660068                   -0.00001151
        27       192                -1103.93708315                -1103.92586249                   -0.00005844
        28       192                -1103.96347778                -1103.93692216                   -0.00013831
        29       192                -1103.93449173                -1103.93684598                    0.00001226
        30       192                -1103.95128437                -1103.94224168                   -0.00004710
        31       192                -1103.95097856                -1103.93486614                   -0.00008392
        32       192                -1103.92944272                -1103.93017285                    0.00000380
        33       192                -1103.93966323                -1103.93661676                   -0.00001587
        34       192                -1103.96706059                -1103.95642575                   -0.00005539
        35       192                -1103.95670562                -1103.96198486                    0.00002750
        36       192                -1103.94195603                -1103.95488782                    0.00006735
        37       192                -1103.95257121                -1103.95089221                   -0.00000874
        38       192                -1103.95382511                -1103.95853022                    0.00002451
        39       192                -1103.94362508                -1103.96279143                    0.00009982
        40       192                -1103.93100177                -1103.95308521                    0.00011502
        41       192                -1103.94085531                -1103.95043226                    0.00004988
        42       192                -1103.97538600                -1103.96802065                   -0.00003836
        43       192                -1103.95967010                -1103.96610820                    0.00003353
        44       192                -1103.95317996                -1103.96328550                    0.00005263
        45       192                -1103.96106140                -1103.95485653                   -0.00003232
        46       192                -1103.93662147                -1103.94266124                    0.00003146
        47       192                -1103.93780834                -1103.94540581                    0.00003957
        48       192                -1103.94404893                -1103.94517844                    0.00000588
        49       192                -1103.93288303                -1103.95371107                    0.00010848
