     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         1        99         1        0.14771600        0.14932876               0.00000000              19.18899117
         1       100         8       -0.26330200       -0.25631279               0.00000000             -55.62470356
         1       101         1        0.13854700        0.15165378               0.00000000              19.18952055
         1       102         1        0.13386200        0.14529906               0.00000000              19.18778150
         1       103         8       -0.27141800       -0.27959065               0.00000000             -55.62559621
         1       104         1        0.12843300        0.13697717               0.00000000              19.18769919
         1       105         1        0.13259400        0.13734676               0.00000000              19.19131085
         1       106         8       -0.29995900       -0.29752259               0.00000000             -55.62520350
         1       107         1        0.13513600        0.14598724               0.00000000              19.18916019
         1       108         1        0.13506700        0.13583020               0.00000000              19.18789996
         1       109         8       -0.29118900       -0.32184782               0.00000000             -55.62598489
         1       110         1        0.12599700        0.11910119               0.00000000              19.18911233
         1       111         1        0.14683700        0.14746684               0.00000000              19.18845945
         1       112         8       -0.26916100       -0.27138130               0.00000000             -55.62629333
         1       113         1        0.12850500        0.13334372               0.00000000              19.18930201
         1       114         1        0.13684900        0.15086177               0.00000000              19.18882592
         1       115         8       -0.30631800       -0.31790038               0.00000000             -55.62266713
         1       116         1        0.12392200        0.13918166               0.00000000              19.18759520
         1       117         1        0.11338100        0.12419912               0.00000000              19.18587727
         1       118         8       -0.22258000       -0.23570668               0.00000000             -55.62448186
         1       119         1        0.15955600        0.15564803               0.00000000              19.19000344
         1       120         1        0.14699600        0.12336655               0.00000000              19.18824174
         1       121         8       -0.27320200       -0.25883649               0.00000000             -55.62342678
         1       122         1        0.12985100        0.13978331               0.00000000              19.18778944
         1       123         1        0.13663200        0.14543903               0.00000000              19.18802412
         1       124         8       -0.27667500       -0.29835285               0.00000000             -55.62628046
         1       125         1        0.14269600        0.12767489               0.00000000              19.18889080
         1       126         1        0.14371700        0.14270830               0.00000000              19.19047948
         1       127         8       -0.26487900       -0.26828624               0.00000000             -55.62603289
         1       128         1        0.14608700        0.14601804               0.00000000              19.18986583
         1       129         1        0.14580900        0.14817693               0.00000000              19.19058834
         1       130         8       -0.31202700       -0.29832777               0.00000000             -55.62639403
         1       131         1        0.12192000        0.12313801               0.00000000              19.18935505
         1       132         1        0.13669200        0.15952608               0.00000000              19.19070062
         1       133         8       -0.30020400       -0.29962898               0.00000000             -55.62423644
         1       134         1        0.14110200        0.13402952               0.00000000              19.18781294
         1       135         1        0.12327600        0.12464142               0.00000000              19.19032309
         1       136         8       -0.28633800       -0.28163386               0.00000000             -55.62480324
         1       137         1        0.13539900        0.13299691               0.00000000              19.18879413
         1       138         1        0.14331400        0.15804789               0.00000000              19.19019313
         1       139         8       -0.24638000       -0.26173849               0.00000000             -55.62379953
         1       140         1        0.15747900        0.15062544               0.00000000              19.19057384
         1       141         1        0.13087800        0.13120540               0.00000000              19.18907923
         1       142         8       -0.28943900       -0.28716943               0.00000000             -55.62495362
         1       143         1        0.13096400        0.13337259               0.00000000              19.18850224
         1       144         1        0.12786100        0.12838424               0.00000000              19.18826402
         1       145         8       -0.30596200       -0.31294949               0.00000000             -55.62550517
         1       146         1        0.14191600        0.15187326               0.00000000              19.18923291
         1       147         1        0.13935300        0.13682614               0.00000000              19.18942456
         1       148         8       -0.30653600       -0.29779344               0.00000000             -55.62496614
         1       149         1        0.12557400        0.12988885               0.00000000              19.18765693
         1       150         1        0.13152800        0.13694891               0.00000000              19.18925807
         1       151         8       -0.32255900       -0.31704167               0.00000000             -55.62370850
         1       152         1        0.11950300        0.12701786               0.00000000              19.18889687
         1       153         1        0.11418200        0.13365449               0.00000000              19.18690797
         1       154         8       -0.29804500       -0.29657678               0.00000000             -55.62511703
         1       155         1        0.14733400        0.15855190               0.00000000              19.19119200
         1       156         1        0.12998900        0.12765481               0.00000000              19.18791882
         1       157         8       -0.23463800       -0.24398097               0.00000000             -55.62471068
         1       158         1        0.14837000        0.14423240               0.00000000              19.18793190
         1       159         1        0.14504900        0.14599896               0.00000000              19.18972168
         1       160         8       -0.28143600       -0.27891135               0.00000000             -55.62678271
         1       161         1        0.14650500        0.15338159               0.00000000              19.18982446
         1       162         1        0.13617000        0.14020675               0.00000000              19.18962469
         1       163         8       -0.30320800       -0.29862016               0.00000000             -55.62577038
         1       164         1        0.13664100        0.14136221               0.00000000              19.18852209
