     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
       110       192                -1103.95146502                -1103.93710000                   -0.00007482
       111       192                -1103.94642681                -1103.94045469                   -0.00003110
       112       192                -1103.94618988                -1103.93985192                   -0.00003301
       113       192                -1103.94850036                -1103.94400541                   -0.00002341
       114       192                -1103.93158619                -1103.92442563                   -0.00003729
       115       192                -1103.92430391                -1103.92827677                    0.00002069
       116       192                -1103.94318519                -1103.92748333                   -0.00008178
       117       192                -1103.95014978                -1103.93901516                   -0.00005799
       118       192                -1103.95869412                -1103.93963558                   -0.00009926
       119       192                -1103.96359455                -1103.94154522                   -0.00011484
       120       192                -1103.94289125                -1103.93479485                   -0.00004217
       121       192                -1103.93801217                -1103.94847394                    0.00005449
       122       192                -1103.96856473                -1103.96181205                   -0.00003517
       123       192                -1103.96040923                -1103.96598376                    0.00002903
       124       192                -1103.96508683                -1103.95959857                   -0.00002858
       125       192                -1103.96893759                -1103.96037348                   -0.00004460
       126       192                -1103.96483879                -1103.95777327                   -0.00003680
       127       192                -1103.95703623                -1103.95813268                    0.00000571
       128       192                -1103.98577906                -1103.97467919                   -0.00005781
       129       192                -1103.96594506                -1103.97409463                    0.00004245
       130       192                -1103.95925158                -1103.97271656                    0.00007013
       131       192                -1103.97236007                -1103.97312932                    0.00000401
       132       192                -1103.97538145                -1103.96426816                   -0.00005788
       133       192                -1103.96174500                -1103.96390581                    0.00001125
       134       192                -1103.97230255                -1103.96905413                   -0.00001692
       135       192                -1103.96540821                -1103.95562857                   -0.00005094
       136       192                -1103.97363587                -1103.94578024                   -0.00014508
       137       192                -1103.99373405                -1103.94348543                   -0.00026171
       138       192                -1103.99117294                -1103.94231634                   -0.00025446
       139       192                -1103.98719843                -1103.94298633                   -0.00023027
       140       192                -1104.00169865                -1103.95314068                   -0.00025291
       141       192                -1103.98708802                -1103.94320702                   -0.00022855
       142       192                -1103.98452527                -1103.95726918                   -0.00014196
