     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         1        71               0.02149700              -0.01571100              -0.03619800               0.01854421              -0.02173052              -0.03172582
         1        72               0.00010000               0.01093000               0.00676000              -0.01440758               0.02112633               0.00406946
         1        73              -0.01375400              -0.02717800               0.05927000              -0.00125482              -0.00821217               0.02722542
         1        74               0.02280500               0.01515400              -0.04573700               0.00799130               0.00623165              -0.01970363
         1        75              -0.01891500               0.00151200              -0.01569600              -0.00984043               0.00031840              -0.00543479
         1        76               0.02302500              -0.02178000              -0.00824300               0.00315908              -0.00796219               0.00248914
         1        77              -0.00954100              -0.00239200               0.00717800              -0.00234138               0.00054158              -0.00214895
         1        78              -0.01722900               0.02660800              -0.01440900              -0.00512392               0.00936455              -0.00898566
         1        79              -0.00248600               0.00984200               0.02224300               0.00387522               0.01003341               0.01668942
         1        80               0.00023500              -0.00084100              -0.02699900              -0.00062356              -0.00212775              -0.01438434
         1        81               0.00725900               0.00190300               0.00893300               0.00169777               0.00426836               0.00389591
         1        82              -0.00212100               0.00019100               0.01038100              -0.00665388               0.01000503               0.00905001
         1        83               0.00795000              -0.00577300              -0.01833100               0.00823910              -0.00843890              -0.01680754
         1        84              -0.00316300               0.00460800               0.00761900              -0.00225112               0.00036470               0.00816284
         1        85               0.01611100              -0.00991000              -0.00065600               0.01334280               0.01114156               0.00696534
         1        86              -0.01845700               0.01728300               0.00141000              -0.00901395               0.00230223              -0.00018476
         1        87               0.01159000              -0.01030900              -0.00787200              -0.00115468              -0.00638847              -0.00992247
         1        88               0.00562200               0.00975800              -0.04002300              -0.00246888               0.00651300              -0.02978051
         1        89              -0.01587200              -0.01744500               0.02157600              -0.00854969              -0.00830526               0.00590045
         1        90               0.00617900               0.01324000               0.01904000               0.00700587               0.01121170               0.02809211
         1        91               0.00483400               0.01602600               0.00777100               0.01476574               0.00547530              -0.00115601
