     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1       192                -1103.96472887                -1103.94503340                   -0.00010258
         2       192                -1103.95398863                -1103.94307891                   -0.00005682
         3       192                -1103.93307966                -1103.93612260                    0.00001585
         4       192                -1103.96173306                -1103.95476366                   -0.00003630
         5       192                -1103.97030849                -1103.97113372                    0.00000430
         6       192                -1103.94401898                -1103.95629466                    0.00006394
         7       192                -1103.96626206                -1103.95053158                   -0.00008193
         8       192                -1103.94535837                -1103.95501514                    0.00005030
         9       192                -1103.93915519                -1103.94080530                    0.00000859
        10       192                -1103.95282827                -1103.94847967                   -0.00002265
        11       192                -1103.95108872                -1103.95559360                    0.00002346
        12       192                -1103.94780607                -1103.95768549                    0.00005146
        13       192                -1103.94767098                -1103.96206744                    0.00007498
        14       192                -1103.95492017                -1103.95553216                    0.00000319
        15       192                -1103.94105222                -1103.94615573                    0.00002658
        16       192                -1103.96206394                -1103.95867194                   -0.00001767
        17       192                -1103.95207047                -1103.96986946                    0.00009270
        18       192                -1103.93539648                -1103.95544956                    0.00010444
        19       192                -1103.92586937                -1103.95366259                    0.00014476
        20       192                -1103.94138438                -1103.96796256                    0.00013843
        21       192                -1103.92426439                -1103.94598517                    0.00011313
        22       192                -1103.90872629                -1103.93712185                    0.00014789
        23       192                -1103.91583583                -1103.94074254                    0.00012972
        24       192                -1103.94767701                -1103.95859124                    0.00005684
        25       192                -1103.93787385                -1103.96636574                    0.00014840
        26       192                -1103.93881036                -1103.95913095                    0.00010584
        27       192                -1103.93708315                -1103.95223440                    0.00007891
        28       192                -1103.96347778                -1103.96316995                   -0.00000160
        29       192                -1103.93449173                -1103.94228117                    0.00004057
        30       192                -1103.95128437                -1103.94198085                   -0.00004846
        31       192                -1103.95097856                -1103.94133708                   -0.00005022
        32       192                -1103.92944272                -1103.95152894                    0.00011503
        33       192                -1103.93966323                -1103.96181155                    0.00011536
        34       192                -1103.96706059                -1103.96024347                   -0.00003551
        35       192                -1103.95670562                -1103.95397057                   -0.00001425
        36       192                -1103.94195603                -1103.94556193                    0.00001878
