     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         1         1         8       -0.26288000       -0.26128718               0.00000000             -55.63652786
         1         2         1        0.13508100        0.13200699               0.00000000              19.19330027
         1         3         1        0.13061000        0.13594051               0.00000000              19.19359188
         1         4         8       -0.29058800       -0.31607687               0.00000000             -55.63571321
         1         5         1        0.14559800        0.14602855               0.00000000              19.19792859
         1         6         1        0.14112300        0.12545692               0.00000000              19.19445409
         1         7         8       -0.27847500       -0.24956057               0.00000000             -55.63587308
         1         8         1        0.12633300        0.13188039               0.00000000              19.19689775
         1         9         1        0.12951800        0.14974720               0.00000000              19.19350553
         1        10         8       -0.28912600       -0.28890843               0.00000000             -55.63623492
         1        11         1        0.13696100        0.11811962               0.00000000              19.19468680
         1        12         1        0.14906300        0.10242948               0.00000000              19.19300394
         1        13         8       -0.30521400       -0.30408357               0.00000000             -55.63654850
         1        14         1        0.13662100        0.13864584               0.00000000              19.19453994
         1        15         1        0.12897900        0.13733506               0.00000000              19.19458553
         1        16         8       -0.24467700       -0.23092142               0.00000000             -55.63702391
         1        17         1        0.14439200        0.12937870               0.00000000              19.19172597
         1        18         1        0.15237500        0.14959093               0.00000000              19.19717142
         1        19         8       -0.29458100       -0.27115313               0.00000000             -55.63786973
         1        20         1        0.15289800        0.15101909               0.00000000              19.19821787
         1        21         1        0.13873400        0.13351209               0.00000000              19.19335741
         1        22         8       -0.30449300       -0.29163055               0.00000000             -55.63592952
         1        23         1        0.14673800        0.15007408               0.00000000              19.19881300
         1        24         1        0.12415800        0.13604437               0.00000000              19.19300131
         1        25         8       -0.27501300       -0.27528606               0.00000000             -55.63679683
         1        26         1        0.12812200        0.13915261               0.00000000              19.19617737
         1        27         1        0.12593400        0.13615782               0.00000000              19.19197111
         1        28         8       -0.30840500       -0.29704375               0.00000000             -55.63349030
         1        29         1        0.11501900        0.05674752               0.00000000              19.19123704
         1        30         1        0.11814200        0.12518714               0.00000000              19.19385676
         1        31         8       -0.29039900       -0.30534076               0.00000000             -55.63688318
         1        32         1        0.13475200        0.14340214               0.00000000              19.19291690
