     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         1         1         8       -0.26288000       -0.28699283               0.00000000             -55.64053645
         1         2         1        0.13508100        0.13881552               0.00000000              19.19572436
         1         3         1        0.13061000        0.13927688               0.00000000              19.19538799
         1         4         8       -0.29058800       -0.29429106               0.00000000             -55.63672646
         1         5         1        0.14559800        0.15383047               0.00000000              19.19641542
         1         6         1        0.14112300        0.14187330               0.00000000              19.19588132
         1         7         8       -0.27847500       -0.27572376               0.00000000             -55.64023598
         1         8         1        0.12633300        0.13726145               0.00000000              19.19587226
         1         9         1        0.12951800        0.13786455               0.00000000              19.19609558
         1        10         8       -0.28912600       -0.27619742               0.00000000             -55.63902482
         1        11         1        0.13696100        0.12933432               0.00000000              19.19591082
         1        12         1        0.14906300        0.16067361               0.00000000              19.19888158
         1        13         8       -0.30521400       -0.31183372               0.00000000             -55.63962031
         1        14         1        0.13662100        0.13247913               0.00000000              19.19683485
         1        15         1        0.12897900        0.13692505               0.00000000              19.19585252
         1        16         8       -0.24467700       -0.24788110               0.00000000             -55.64484494
         1        17         1        0.14439200        0.14591053               0.00000000              19.19735071
         1        18         1        0.15237500        0.15044578               0.00000000              19.19707168
         1        19         8       -0.29458100       -0.27974689               0.00000000             -55.64241169
         1        20         1        0.15289800        0.13985997               0.00000000              19.20150164
         1        21         1        0.13873400        0.13763834               0.00000000              19.19788078
         1        22         8       -0.30449300       -0.28748593               0.00000000             -55.64015969
         1        23         1        0.14673800        0.15237538               0.00000000              19.19739124
         1        24         1        0.12415800        0.13635013               0.00000000              19.19434039
         1        25         8       -0.27501300       -0.27679404               0.00000000             -55.64159962
         1        26         1        0.12812200        0.13513329               0.00000000              19.19545439
         1        27         1        0.12593400        0.13012918               0.00000000              19.19532227
         1        28         8       -0.30840500       -0.32641731               0.00000000             -55.63387557
         1        29         1        0.11501900        0.13691963               0.00000000              19.19638706
         1        30         1        0.11814200        0.12765993               0.00000000              19.19437787
         1        31         8       -0.29039900       -0.29321116               0.00000000             -55.63902557
         1        32         1        0.13475200        0.14111698               0.00000000              19.19783220
         1        33         1        0.13555200        0.12996992               0.00000000              19.19704371
         1        34         8       -0.25864500       -0.26448227               0.00000000             -55.64193713
         1        35         1        0.14090700        0.13388987               0.00000000              19.19667971
         1        36         1        0.15054800        0.15303374               0.00000000              19.19845288
         1        37         8       -0.27037500       -0.26868617               0.00000000             -55.64195273
         1        38         1        0.14163300        0.13888746               0.00000000              19.19640578
         1        39         1        0.14025700        0.14250778               0.00000000              19.19646809
         1        40         8       -0.27131500       -0.26757498               0.00000000             -55.64095447
         1        41         1        0.13298900        0.12603691               0.00000000              19.19669045
         1        42         1        0.13879200        0.14104480               0.00000000              19.19656738
         1        43         8       -0.27166000       -0.26700023               0.00000000             -55.64133149
         1        44         1        0.14305100        0.14004070               0.00000000              19.19674944
         1        45         1        0.14215400        0.13918065               0.00000000              19.19724609
         1        46         8       -0.28768200       -0.26826433               0.00000000             -55.64034839
         1        47         1        0.14090800        0.13569408               0.00000000              19.19683869
         1        48         1        0.14492000        0.14137388               0.00000000              19.19791411
         1        49         8       -0.28136000       -0.28312810               0.00000000             -55.63853206
         1        50         1        0.12672600        0.12541715               0.00000000              19.19627457
         1        51         1        0.13126000        0.14364358               0.00000000              19.19704184
         1        52         8       -0.26076100       -0.26252392               0.00000000             -55.64407960
         1        53         1        0.14988300        0.14651766               0.00000000              19.19693673
         1        54         1        0.14560700        0.13510289               0.00000000              19.19699967
         1        55         8       -0.28161700       -0.28832313               0.00000000             -55.64110303
         1        56         1        0.12969300        0.13323277               0.00000000              19.19518325
         1        57         1        0.13579300        0.12562460               0.00000000              19.19610375
         1        58         8       -0.25717800       -0.26146710               0.00000000             -55.64224815
         1        59         1        0.14139400        0.13504955               0.00000000              19.19535330
         1        60         1        0.14061300        0.14258311               0.00000000              19.19632492
         1        61         8       -0.27170100       -0.25967141               0.00000000             -55.64455763
         1        62         1        0.13706400        0.13607720               0.00000000              19.19649693
         1        63         1        0.14929400        0.14750749               0.00000000              19.19706335
         1        64         8       -0.28953100       -0.27933083               0.00000000             -55.63750495
         1        65         1        0.13218700        0.14523366               0.00000000              19.19929911
         1        66         1        0.12190000        0.12161953               0.00000000              19.19456302
         1        67         8       -0.24734000       -0.25132165               0.00000000             -55.64415402
         1        68         1        0.14199900        0.13956107               0.00000000              19.19526836
         1        69         1        0.15860300        0.14579600               0.00000000              19.19747210
         1        70         8       -0.20986400       -0.22676839               0.00000000             -55.64960133
         1        71         1        0.14964000        0.14472570               0.00000000              19.19867993
         1        72         1        0.14733700        0.14122290               0.00000000              19.19692554
         1        73         8       -0.23466700       -0.24704053               0.00000000             -55.64666067
         1        74         1        0.16546400        0.15134119               0.00000000              19.20045245
         1        75         1        0.15778800        0.14813021               0.00000000              19.19969811
         1        76         8       -0.28120100       -0.29355505               0.00000000             -55.63921609
         1        77         1        0.14246900        0.13902664               0.00000000              19.19877640
         1        78         1        0.12179300        0.12853793               0.00000000              19.19513576
         1        79         8       -0.28230500       -0.29219526               0.00000000             -55.63991105
         1        80         1        0.13879300        0.14710692               0.00000000              19.19895978
         1        81         1        0.11988400        0.13989684               0.00000000              19.19537132
         1        82         8       -0.27529800       -0.26336548               0.00000000             -55.64104000
         1        83         1        0.14874900        0.15344151               0.00000000              19.19617898
         1        84         1        0.14651700        0.14269709               0.00000000              19.19575472
         1        85         8       -0.29419500       -0.28507881               0.00000000             -55.64010261
         1        86         1        0.14019200        0.14545207               0.00000000              19.19695406
         1        87         1        0.12787900        0.12819154               0.00000000              19.19646263
         1        88         8       -0.23565100       -0.24489694               0.00000000             -55.64535376
         1        89         1        0.17174100        0.14573801               0.00000000              19.19738579
         1        90         1        0.15360600        0.14466481               0.00000000              19.19856744
         1        91         8       -0.26667800       -0.26549027               0.00000000             -55.64394268
         1        92         1        0.15576400        0.15990247               0.00000000              19.20037540
         1        93         1        0.14291600        0.12860791               0.00000000              19.19772586
         1        94         8       -0.25599700       -0.25859838               0.00000000             -55.64249316
         1        95         1        0.12737400        0.12440648               0.00000000              19.19597813
         1        96         1        0.13289200        0.13328527               0.00000000              19.19625559
         1        97         8       -0.23247000       -0.22632498               0.00000000             -55.64552826
         1        98         1        0.14792000        0.13742929               0.00000000              19.19678618
         1        99         1        0.14771600        0.14162587               0.00000000              19.19591768
         1       100         8       -0.26330200       -0.25289832               0.00000000             -55.64485497
         1       101         1        0.13854700        0.14490251               0.00000000              19.19744404
         1       102         1        0.13386200        0.12863800               0.00000000              19.19679711
         1       103         8       -0.27141800       -0.28671912               0.00000000             -55.63847172
         1       104         1        0.12843300        0.13148523               0.00000000              19.19653729
         1       105         1        0.13259400        0.13882451               0.00000000              19.19554326
         1       106         8       -0.29995900       -0.29899392               0.00000000             -55.63893486
         1       107         1        0.13513600        0.14051437               0.00000000              19.19584450
         1       108         1        0.13506700        0.13661429               0.00000000              19.19567192
         1       109         8       -0.29118900       -0.30302697               0.00000000             -55.63665783
         1       110         1        0.12599700        0.13576393               0.00000000              19.19495505
         1       111         1        0.14683700        0.14577896               0.00000000              19.19754818
         1       112         8       -0.26916100       -0.25947611               0.00000000             -55.64332659
         1       113         1        0.12850500        0.13195412               0.00000000              19.19577446
         1       114         1        0.13684900        0.14580895               0.00000000              19.19725334
         1       115         8       -0.30631800       -0.30768534               0.00000000             -55.63553474
         1       116         1        0.12392200        0.13118769               0.00000000              19.19600805
         1       117         1        0.11338100        0.12059935               0.00000000              19.19494554
         1       118         8       -0.22258000       -0.22996355               0.00000000             -55.64768598
         1       119         1        0.15955600        0.15591191               0.00000000              19.19903270
         1       120         1        0.14699600        0.14253667               0.00000000              19.19607817
         1       121         8       -0.27320200       -0.29584857               0.00000000             -55.64052343
         1       122         1        0.12985100        0.13418720               0.00000000              19.19627825
         1       123         1        0.13663200        0.14314795               0.00000000              19.19871426
         1       124         8       -0.27667500       -0.29006099               0.00000000             -55.64009813
         1       125         1        0.14269600        0.13939014               0.00000000              19.19725222
         1       126         1        0.14371700        0.14831681               0.00000000              19.19737284
         1       127         8       -0.26487900       -0.24552651               0.00000000             -55.64220603
         1       128         1        0.14608700        0.15231785               0.00000000              19.19651690
         1       129         1        0.14580900        0.14775981               0.00000000              19.19636690
         1       130         8       -0.31202700       -0.29899046               0.00000000             -55.63998603
         1       131         1        0.12192000        0.12416347               0.00000000              19.19569384
         1       132         1        0.13669200        0.13840558               0.00000000              19.19813591
         1       133         8       -0.30020400       -0.28134926               0.00000000             -55.64014283
         1       134         1        0.14110200        0.14243297               0.00000000              19.19766803
         1       135         1        0.12327600        0.12985297               0.00000000              19.19652388
         1       136         8       -0.28633800       -0.28481904               0.00000000             -55.63993992
         1       137         1        0.13539900        0.13681530               0.00000000              19.19643927
         1       138         1        0.14331400        0.15150420               0.00000000              19.19667518
         1       139         8       -0.24638000       -0.26430730               0.00000000             -55.64072558
         1       140         1        0.15747900        0.15161505               0.00000000              19.20057397
         1       141         1        0.13087800        0.12404427               0.00000000              19.19475691
         1       142         8       -0.28943900       -0.29496673               0.00000000             -55.64125378
         1       143         1        0.13096400        0.13739091               0.00000000              19.19653182
         1       144         1        0.12786100        0.12736148               0.00000000              19.19528803
         1       145         8       -0.30596200       -0.32284342               0.00000000             -55.63650648
         1       146         1        0.14191600        0.15080894               0.00000000              19.19807128
