     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1       192                -1103.96472887                -1103.96721536                    0.00001295
         2       192                -1103.95398863                -1103.95973399                    0.00002992
         3       192                -1103.93307966                -1103.94990458                    0.00008763
         4       192                -1103.96173306                -1103.95322152                   -0.00004433
         5       192                -1103.97030849                -1103.96818276                   -0.00001107
         6       192                -1103.94401898                -1103.95014278                    0.00003189
         7       192                -1103.96626206                -1103.96364482                   -0.00001363
         8       192                -1103.94535837                -1103.94782754                    0.00001286
         9       192                -1103.93915519                -1103.93608595                   -0.00001599
        10       192                -1103.95282827                -1103.95252014                   -0.00000160
        11       192                -1103.95108872                -1103.95267323                    0.00000825
        12       192                -1103.94780607                -1103.94387725                   -0.00002046
        13       192                -1103.94767098                -1103.94987592                    0.00001148
        14       192                -1103.95492017                -1103.94431492                   -0.00005524
        15       192                -1103.94105222                -1103.92276278                   -0.00009526
        16       192                -1103.96206394                -1103.93851605                   -0.00012265
        17       192                -1103.95207047                -1103.94043421                   -0.00006061
        18       192                -1103.93539648                -1103.92026136                   -0.00007883
        19       192                -1103.92586937                -1103.91464100                   -0.00005848
        20       192                -1103.94138438                -1103.92804590                   -0.00006947
        21       192                -1103.92426439                -1103.90468615                   -0.00010197
        22       192                -1103.90872629                -1103.88670505                   -0.00011469
        23       192                -1103.91583583                -1103.89759524                   -0.00009500
        24       192                -1103.94767701                -1103.93141679                   -0.00008469
        25       192                -1103.93787385                -1103.93612912                   -0.00000909
        26       192                -1103.93881036                -1103.93792660                   -0.00000460
        27       192                -1103.93708315                -1103.93752998                    0.00000233
        28       192                -1103.96347778                -1103.95336594                   -0.00005267
        29       192                -1103.93449173                -1103.93166898                   -0.00001470
        30       192                -1103.95128437                -1103.93690476                   -0.00007489
        31       192                -1103.95097856                -1103.93434999                   -0.00008661
        32       192                -1103.92944272                -1103.93183962                    0.00001248
        33       192                -1103.93966323                -1103.95156913                    0.00006201
        34       192                -1103.96706059                -1103.97357253                    0.00003392
        35       192                -1103.95670562                -1103.94501735                   -0.00006088
        36       192                -1103.94195603                -1103.94577652                    0.00001990
        37       192                -1103.95257121                -1103.94443608                   -0.00004237
        38       192                -1103.95382511                -1103.95486087                    0.00000539
        39       192                -1103.94362508                -1103.94365816                    0.00000017
        40       192                -1103.93100177                -1103.93150140                    0.00000260
        41       192                -1103.94085531                -1103.93847435                   -0.00001240
        42       192                -1103.97538600                -1103.97731225                    0.00001003
        43       192                -1103.95967010                -1103.96510382                    0.00002830
        44       192                -1103.95317996                -1103.95650111                    0.00001730
        45       192                -1103.96106140                -1103.96178323                    0.00000376
        46       192                -1103.93662147                -1103.93690176                    0.00000146
        47       192                -1103.93780834                -1103.93628422                   -0.00000794
        48       192                -1103.94404893                -1103.93130166                   -0.00006639
        49       192                -1103.93288303                -1103.93796132                    0.00002645
        50       192                -1103.93709612                -1103.94210985                    0.00002611
        51       192                -1103.93996699                -1103.95454750                    0.00007594
        52       192                -1103.94774989                -1103.94196377                   -0.00003014
        53       192                -1103.94276277                -1103.93905236                   -0.00001933
        54       192                -1103.94611721                -1103.94954594                    0.00001786
        55       192                -1103.94821068                -1103.95310738                    0.00002550
        56       192                -1103.95732397                -1103.94879079                   -0.00004444
        57       192                -1103.94746631                -1103.93918133                   -0.00004315
        58       192                -1103.93264197                -1103.93137694                   -0.00000659
        59       192                -1103.94992035                -1103.94175609                   -0.00004252
        60       192                -1103.95499448                -1103.95399146                   -0.00000522
        61       192                -1103.93650691                -1103.92730205                   -0.00004794
        62       192                -1103.90425966                -1103.90417110                   -0.00000046
        63       192                -1103.95295500                -1103.94830850                   -0.00002420
        64       192                -1103.95459686                -1103.94310558                   -0.00005985
        65       192                -1103.94166703                -1103.92466287                   -0.00008856
        66       192                -1103.93481131                -1103.92996567                   -0.00002524
        67       192                -1103.93531592                -1103.92832214                   -0.00003643
        68       192                -1103.95321075                -1103.95059526                   -0.00001362
        69       192                -1103.96468878                -1103.95842325                   -0.00003263
        70       192                -1103.93870009                -1103.92789837                   -0.00005626
        71       192                -1103.95268015                -1103.94407661                   -0.00004481
        72       192                -1103.97988959                -1103.96198084                   -0.00009327
        73       192                -1103.94747559                -1103.93901840                   -0.00004405
        74       192                -1103.96101687                -1103.95645028                   -0.00002378
        75       192                -1103.94302896                -1103.93837011                   -0.00002426
        76       192                -1103.94598333                -1103.95193284                    0.00003099
        77       192                -1103.96186373                -1103.95258963                   -0.00004830
        78       192                -1103.95585384                -1103.95634396                    0.00000255
        79       192                -1103.95666291                -1103.95320337                   -0.00001802
        80       192                -1103.95747637                -1103.95903395                    0.00000811
        81       192                -1103.93642295                -1103.92945746                   -0.00003628
        82       192                -1103.92923562                -1103.92029813                   -0.00004655
        83       192                -1103.93860067                -1103.92469240                   -0.00007244
        84       192                -1103.93212633                -1103.92362919                   -0.00004426
        85       192                -1103.93442602                -1103.92420437                   -0.00005324
        86       192                -1103.93174294                -1103.93572133                    0.00002072
        87       192                -1103.93640646                -1103.93856608                    0.00001125
        88       192                -1103.93267388                -1103.93355966                    0.00000461
        89       192                -1103.91279899                -1103.91400861                    0.00000630
        90       192                -1103.92789049                -1103.92731822                   -0.00000298
        91       192                -1103.92511481                -1103.92546588                    0.00000183
        92       192                -1103.91911958                -1103.91553593                   -0.00001866
        93       192                -1103.94952895                -1103.94218100                   -0.00003827
        94       192                -1103.94326937                -1103.93046642                   -0.00006668
        95       192                -1103.94383833                -1103.93631472                   -0.00003919
        96       192                -1103.94309769                -1103.93620071                   -0.00003592
        97       192                -1103.95672461                -1103.94132129                   -0.00008023
        98       192                -1103.93311128                -1103.93132488                   -0.00000930
        99       192                -1103.94536967                -1103.94861753                    0.00001692
       100       192                -1103.94230250                -1103.93058342                   -0.00006104
       101       192                -1103.93424550                -1103.93048526                   -0.00001958
       102       192                -1103.92966387                -1103.93822256                    0.00004458
       103       192                -1103.93824734                -1103.94881498                    0.00005504
       104       192                -1103.93601328                -1103.93288491                   -0.00001629
       105       192                -1103.93294895                -1103.93130111                   -0.00000858
       106       192                -1103.92515597                -1103.92603410                    0.00000457
       107       192                -1103.92875228                -1103.93028869                    0.00000800
       108       192                -1103.95042130                -1103.94825270                   -0.00001129
       109       192                -1103.94374189                -1103.94389553                    0.00000080
       110       192                -1103.95146502                -1103.94886402                   -0.00001355
       111       192                -1103.94642681                -1103.94183038                   -0.00002394
       112       192                -1103.94618988                -1103.94758892                    0.00000729
       113       192                -1103.94850036                -1103.95277928                    0.00002229
       114       192                -1103.93158619                -1103.92868571                   -0.00001511
       115       192                -1103.92430391                -1103.92659842                    0.00001195
       116       192                -1103.94318519                -1103.94404032                    0.00000445
       117       192                -1103.95014978                -1103.94393979                   -0.00003234
       118       192                -1103.95869412                -1103.95411332                   -0.00002386
       119       192                -1103.96359455                -1103.95402694                   -0.00004983
       120       192                -1103.94289125                -1103.95570192                    0.00006672
       121       192                -1103.93801217                -1103.95766023                    0.00010233
       122       192                -1103.96856473                -1103.98689836                    0.00009549
       123       192                -1103.96040923                -1103.96892441                    0.00004435
       124       192                -1103.96508683                -1103.97305294                    0.00004149
       125       192                -1103.96893759                -1103.97072362                    0.00000930
       126       192                -1103.96483879                -1103.96537892                    0.00000281
       127       192                -1103.95703623                -1103.94981167                   -0.00003763
       128       192                -1103.98577906                -1103.98041783                   -0.00002792
       129       192                -1103.96594506                -1103.96006738                   -0.00003061
       130       192                -1103.95925158                -1103.95979809                    0.00000285
       131       192                -1103.97236007                -1103.97960761                    0.00003775
       132       192                -1103.97538145                -1103.97698836                    0.00000837
       133       192                -1103.96174500                -1103.95413108                   -0.00003966
       134       192                -1103.97230255                -1103.96427693                   -0.00004180
       135       192                -1103.96540821                -1103.94644966                   -0.00009874
       136       192                -1103.97363587                -1103.95159317                   -0.00011481
       137       192                -1103.99373405                -1103.96986909                   -0.00012430
       138       192                -1103.99117294                -1103.98331953                   -0.00004090
       139       192                -1103.98719843                -1103.98612322                   -0.00000560
       140       192                -1104.00169865                -1103.99003877                   -0.00006073
       141       192                -1103.98708802                -1103.97278354                   -0.00007450
       142       192                -1103.98452527                -1103.98237393                   -0.00001120
